Year	MonthOfYear	DayOfMonth	HourOfDayUTC	DayOfYear	DayOfCentury	AirPressurehPa	AirTemperatureC	AirTemperatureHygroClipC	RelativeHumidity_wrtWater	RelativeHumidity	WindSpeedms	WindDirectiond	ShortwaveRadiationDownWm2	ShortwaveRadiationDown_CorWm2	ShortwaveRadiationUpWm2	ShortwaveRadiationUp_CorWm2	Albedo_theta70d	LongwaveRadiationDownWm2	LongwaveRadiationUpWm2	CloudCover	SurfaceTemperatureC	HeightSensorBoomm	HeightStakesm	DepthPressureTransducerm	DepthPressureTransducer_Corm	IceTemperature1C	IceTemperature2C	IceTemperature3C	IceTemperature4C	IceTemperature5C	IceTemperature6C	IceTemperature7C	IceTemperature8C	TiltToEastd	TiltToNorthd	TimeGPShhmmssUTC	LatitudeGPSddmm	LongitudeGPSddmm	ElevationGPSm	HorDilOfPrecGPS	LoggerTemperatureC	FanCurrentmA	BatteryVoltageV	time	HeightSensorBoomm_raw	SurfaceHeightm	DepthThermistor1m	DepthThermistor2m	DepthThermistor3m	DepthThermistor4m	DepthThermistor5m	DepthThermistor6m	DepthThermistor7m	DepthThermistor8m
2009	4	4	15	94	3382	801.01	-14.775	-999	-999	78.34	3.8053	-999	-999	598.57	-999	478.86	-999	179.87	205.9	-999	-999	0	-0.002	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	7.34E+05	-999	0.002	0	0	0.412	1.412	2.412	3.412	4.412	7.412
2009	4	4	16	94	3382	800.73	-13.537	-999	-999	76.284	3.558	-999	-999	579.27	-999	463.41	-999	180.38	205.9	-999	-999	0	-0.002	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	7.34E+05	-999	0.002	0	0	0.412	1.412	2.412	3.412	4.412	7.412
2009	4	4	17	94	3382	800.51	-14.161	-999	-999	77.518	1.6984	-999	-999	507.46	-999	405.97	-999	179.61	205.9	-999	-999	0	-0.0025	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	7.34E+05	-999	0.0025	0	0	0.4125	1.4125	2.4125	3.4125	4.4125	7.4125
2009	4	4	18	94	3382	800.47	-15.91	-999	-999	82.454	1.7629	-999	-999	417.57	-999	334.06	-999	176.73	205.9	-999	-999	0	-0.003	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	7.34E+05	-999	0.003	0	0	0.413	1.413	2.413	3.413	4.413	7.413
2009	4	4	19	94	3382	800.49	-17.804	-999	-999	85.333	2.1284	-999	-999	310.93	-999	248.75	-999	173.59	205.9	-999	-999	0	-0.003	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	7.34E+05	-999	0.003	0	0	0.413	1.413	2.413	3.413	4.413	7.413
2009	4	4	20	94	3382	800.62	-19.99	-999	-999	86.978	1.9671	-999	-999	192.65	-999	154.12	-999	171.22	205.9	-999	-999	0	-0.003	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	7.34E+05	-999	0.003	0	0	0.413	1.413	2.413	3.413	4.413	7.413
2009	4	4	21	94	3382	799.23	-23.65	-24.56	70.5	88.8	3.28	96.4	21.5	6.6776	37.4	5.5	-999	155.7	209.8	0.25	-26.52	0	-0.0035	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	2.63	0.69	-999	-999	-999	-999	-999	-22.81	66.1	12.95	7.34E+05	1.62	0.0035	0	0	0.4135	1.4135	2.4135	3.4135	4.4135	7.4135
2009	4	4	22	94	3382	799.25	-24.79	-25.91	74.1	94.4	3.72	97.7	4	6.705	8.1	5.7	-999	154.9	205.2	0.3	-27.86	0	-0.004	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	2.63	0.69	2.15E+05	6700	4701	1849	1.71	-24.14	125.3	12.83	7.34E+05	2.272	0.004	0	0	0.414	1.414	2.414	3.414	4.414	7.414
2009	4	4	23	94	3382	799.31	-26.28	-27.52	78	100	4.31	99.6	-1.1	0	0.6	0	-999	153	200.8	0.35	-29.19	0	-0.004	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	2.63	0.69	2.15E+05	6700	4701	1849	1.71	-26.02	125.4	12.8	7.34E+05	2.664	0.004	0	0	0.414	1.414	2.414	3.414	4.414	7.414
2009	4	5	0	95	3383	798.97	-26.52	-27.76	81.2	100	4.73	102.2	-1	0	0.7	0	-999	155.9	199.5	0.4	-29.6	0	-0.004	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	2.63	0.69	40	6700	4701	1830.6	1.57	-26.97	124.6	12.74	7.34E+05	2.513	0.004	0	0	0.414	1.414	2.414	3.414	4.414	7.414
