depth_m;temperature_degC
29.5;-23.65776078
29.6;-23.65724353
29.7;-23.65672628
29.8;-23.65620903
29.9;-23.65569178
30;-23.65517454
30.1;-23.65465729
30.2;-23.65414004
30.3;-23.65362279
30.4;-23.65310554
30.5;-23.65258829
30.6;-23.65207105
30.7;-23.6515538
30.8;-23.65103655
30.9;-23.6505193
31;-23.65000205
31.1;-23.6494848
31.2;-23.64896755
31.3;-23.64845031
31.4;-23.64793306
31.5;-23.64741581
31.6;-23.64689856
31.7;-23.64638131
31.8;-23.64586406
31.9;-23.64534682
32;-23.64482957
32.1;-23.64431232
32.2;-23.64379507
32.3;-23.64327782
32.4;-23.64276057
32.5;-23.64224332
32.6;-23.64172608
32.7;-23.64120883
32.8;-23.64069158
32.9;-23.64017433
33;-23.63965708
33.1;-23.63913983
33.2;-23.63862259
33.3;-23.63810534
33.4;-23.63758809
33.5;-23.63707084
33.6;-23.63655359
33.7;-23.63603634
33.8;-23.63551909
33.9;-23.63500185
34;-23.6344846
34.1;-23.63396735
34.2;-23.6334501
34.3;-23.63293285
34.4;-23.6324156
34.5;-23.63189836
34.6;-23.63138111
34.7;-23.63086386
34.8;-23.63034661
34.9;-23.62982936
35;-23.62931211
35.1;-23.62879486
35.2;-23.62827762
35.3;-23.62776037
35.4;-23.62724312
35.5;-23.62672587
35.6;-23.62620862
35.7;-23.62569137
35.8;-23.62517413
35.9;-23.62465688
36;-23.62413963
36.1;-23.62362238
36.2;-23.62310513
36.3;-23.62258788
36.4;-23.62207063
36.5;-23.62155339
36.6;-23.62103614
36.7;-23.62051889
36.8;-23.62000164
36.9;-23.61948439
37;-23.61896714
37.1;-23.6184499
37.2;-23.61793265
37.3;-23.6174154
37.4;-23.61689815
37.5;-23.6163809
37.6;-23.61586365
37.7;-23.61534641
37.8;-23.61482916
37.9;-23.61431191
38;-23.61379466
38.1;-23.61327741
38.2;-23.61276016
38.3;-23.61224291
38.4;-23.61172567
38.5;-23.61120842
38.6;-23.61069117
38.7;-23.61017392
38.8;-23.60965667
38.9;-23.60913942
39;-23.60862218
39.1;-23.60810493
39.2;-23.60758768
39.3;-23.60707043
39.4;-23.60655318
39.5;-23.60603593
39.6;-23.60551868
39.7;-23.60500144
39.8;-23.60448419
39.9;-23.60396694
40;-23.60344969
40.1;-23.60293244
40.2;-23.60241519
40.3;-23.60189795
40.4;-23.6013807
40.5;-23.60086345
40.6;-23.6003462
40.7;-23.59982895
40.8;-23.5993117
40.9;-23.59879445
41;-23.59827721
41.1;-23.59775996
41.2;-23.59724271
41.3;-23.59672546
41.4;-23.59620821
41.5;-23.59569096
41.6;-23.59517372
41.7;-23.59465647
41.8;-23.59413922
41.9;-23.59362197
42;-23.59310472
42.1;-23.59258747
42.2;-23.59207022
42.3;-23.59155298
42.4;-23.59103573
42.5;-23.59051848
42.6;-23.59000123
42.7;-23.58948398
42.8;-23.58896673
42.9;-23.58844949
43;-23.58793224
43.1;-23.58741499
43.2;-23.58689774
43.3;-23.58638049
43.4;-23.58586324
43.5;-23.58534599
43.6;-23.58482875
43.7;-23.5843115
43.8;-23.58379425
43.9;-23.583277
44;-23.58275975
44.1;-23.5822425
44.2;-23.58172526
44.3;-23.58120801
44.4;-23.58069076
44.5;-23.58017351
44.6;-23.57965626
44.7;-23.57913901
44.8;-23.57862176
44.9;-23.57810452
45;-23.57758727
45.1;-23.57707002
45.2;-23.57655277
45.3;-23.57603552
45.4;-23.57551827
45.5;-23.57500103
45.6;-23.57448378
45.7;-23.57396653
45.8;-23.57344928
45.9;-23.57293203
46;-23.57241478
46.1;-23.57189753
46.2;-23.57138029
46.3;-23.57086304
46.4;-23.57034579
46.5;-23.56982854
46.6;-23.56931129
46.7;-23.56879404
46.8;-23.5682768
46.9;-23.56775955
47;-23.5672423
47.1;-23.56672505
47.2;-23.5662078
47.3;-23.56569055
47.4;-23.56517331
47.5;-23.56465606
47.6;-23.56413881
47.7;-23.56362156
47.8;-23.56310431
47.9;-23.56258706
48;-23.56206981
48.1;-23.56155257
48.2;-23.56103532
48.3;-23.56051807
48.4;-23.56000082
48.5;-23.55948357
48.6;-23.55896632
48.7;-23.55844908
48.8;-23.55793183
48.9;-23.55741458
49;-23.55689733
49.1;-23.55638008
49.2;-23.55586283
49.3;-23.55534558
49.4;-23.55482834
49.5;-23.55431109
49.6;-23.55379384
49.7;-23.55327659
49.8;-23.55275934
49.9;-23.55224209
50;-23.55172485
50.1;-23.5512076
50.2;-23.55069035
50.3;-23.5501731
50.4;-23.54965585
50.5;-23.5491386
50.6;-23.54862135
50.7;-23.54810411
50.8;-23.54758686
50.9;-23.54706961
51;-23.54655236
51.1;-23.54603511
51.2;-23.54551786
51.3;-23.54500062
51.4;-23.54448337
51.5;-23.54396612
51.6;-23.54344887
51.7;-23.54293162
51.8;-23.54241437
51.9;-23.54189712
52;-23.54137988
52.1;-23.54086263
52.2;-23.54034538
52.3;-23.53982813
52.4;-23.53931088
52.5;-23.53879363
52.6;-23.53827639
52.7;-23.53775914
52.8;-23.53724189
52.9;-23.53672464
53;-23.53620739
53.1;-23.53569014
53.2;-23.53517289
53.3;-23.53465565
53.4;-23.5341384
53.5;-23.53362115
53.6;-23.5331039
53.7;-23.53258665
53.8;-23.5320694
53.9;-23.53155216
54;-23.53103491
54.1;-23.53051766
54.2;-23.53000041
54.3;-23.52948316
54.4;-23.52896591
54.5;-23.52844866
54.6;-23.52793142
54.7;-23.52741417
54.8;-23.52689692
54.9;-23.52637967
55;-23.52586242
55.1;-23.52534517
55.2;-23.52482793
55.3;-23.52431068
55.4;-23.52379343
55.5;-23.52327618
55.6;-23.52275893
55.7;-23.52224168
55.8;-23.52172444
55.9;-23.52120719
56;-23.52068994
56.1;-23.52017269
56.2;-23.51965544
56.3;-23.51913819
56.4;-23.51862094
56.5;-23.5181037
56.6;-23.51758645
56.7;-23.5170692
56.8;-23.51655195
56.9;-23.5160347
57;-23.51551745
57.1;-23.51500021
57.2;-23.51448296
57.3;-23.51396571
57.4;-23.51344846
57.5;-23.51293121
57.6;-23.51241396
57.7;-23.51189671
57.8;-23.51137947
57.9;-23.51086222
58;-23.51034497
58.1;-23.50982772
58.2;-23.50931047
58.3;-23.50879322
58.4;-23.50827598
58.5;-23.50775873
58.6;-23.50724148
58.7;-23.50672423
58.8;-23.50620698
58.9;-23.50568973
59;-23.50517248
59.1;-23.50465524
59.2;-23.50413799
59.3;-23.50362074
59.4;-23.50310349
59.5;-23.50258624
59.6;-23.50206899
59.7;-23.50155175
59.8;-23.5010345
59.9;-23.50051725
60;-23.5
