depth_m;lwc_kg
0.1;0
0.2;0
0.3;0
0.4;0
0.5;0
0.6;0
0.7;0
0.8;0
0.9;0
1;0
1.1;0
1.2;0
1.3;0
1.4;0
1.5;0
1.6;0
1.7;0
1.8;0
1.9;0
2;0
2.1;0
2.2;0
2.3;0
2.4;0
2.5;0
2.6;0
2.7;0
2.8;0
2.9;0
3;0
3.1;0
3.2;0
3.3;0
3.4;0
3.5;0
3.6;0
3.7;0
3.8;0
3.9;0
4;0
4.1;0
4.2;0
4.3;0
4.4;0
4.5;0
4.6;0
4.7;0
4.8;0
4.9;0
5;0
5.1;0
5.2;0
5.3;0
5.4;0
5.5;0
5.6;0
5.7;0
5.8;0
5.9;0
6;0
6.1;0
6.2;0
6.3;0
6.4;0
6.5;0
6.6;0
6.7;0
6.8;0
6.9;0
7;0
7.1;0
7.2;0
7.3;0
7.4;0
7.5;0
7.6;0
7.7;0
7.8;0
7.9;0
8;0
8.1;0
8.2;0
8.3;0
8.4;0
8.5;0
8.6;0
8.7;0
8.8;0
8.9;0
9;0
9.1;0
9.2;0
9.3;0
9.4;0
9.5;0
9.6;0
9.7;0
9.8;0
9.9;0
10;0
10.1;0
10.2;0
10.3;0
10.4;0
10.5;0
10.6;0
10.7;0
10.8;0
10.9;0
11;0
11.1;0
11.2;0
11.3;0
11.4;0
11.5;0
11.6;0
11.7;5.16777063510269
11.8;14.3033575184753
11.9;14.3033575184753
12;16.3705191719606
12.1;16.9926735367773
12.2;16.6802041599545
12.3;13.5975512511589
12.4;13.5975512511589
12.5;16.6950734427248
12.6;19.5478140245899
12.7;19.5478140245902
12.8;17.2066902635084
12.9;16.4631460946962
13;17.4482200321259
13.1;26.3837180100315
13.2;26.383718010032
13.3;26.2327545279404
13.4;24.5268098745647
13.5;24.5268098745647
13.6;23.9225473662023
13.7;20.1333934811791
13.8;20.1333934811788
13.9;23.3119673166492
14;29.0700024816536
14.1;29.0700024816536
14.2;27.7947549427051
14.3;23.3618868601262
14.4;23.3618868601262
14.5;19.7122584258043
14.6;12.1110096271684
14.7;12.1110096271686
14.8;16.8916505740679
14.9;18.1137800516641
15;18.3519264842058
15.1;20.9780103856946
15.2;20.978010385695
15.3;21.0758430405268
15.4;21.338272851174
15.5;21.338272851174
15.6;20.8563558576227
15.7;20.2603990298935
15.8;20.2603990298932
15.9;16.2724038714421
16;14.2254034636104
16.1;13.9162260885816
16.2;9.8415704239482
16.3;9.84157042394785
16.4;6.70926708518678
16.5;4.67419024483066
16.6;4.87750968673589
16.7;5.41252754109547
16.8;5.41252754109528
16.9;12.5091536049896
17;13.0730429670549
17.1;12.334558526239
17.2;11.0794959309136
17.3;11.0794959309132
17.4;7.55792925876282
17.5;7.03997069806186
17.6;6.6170817879419
17.7;6.16201840337116
17.8;6.70328075326277
17.9;10.912704171137
18;10.912704171137
18.1;11.3543038813889
18.2;11.6250184362973
18.3;11.1146773390417
18.4;6.80455175878207
18.5;6.80455175878207
18.6;8.57822681916824
18.7;9.26182830291739
18.8;8.72257578192017
18.9;7.28791442426481
19;7.28791442426481
19.1;1.37729644846841
19.2;0.546003245381626
19.3;2.85450939547189
19.4;4.13824828762621
19.5;5.06151329519211
19.6;6.98019161509999
19.7;6.98019161510024
19.8;8.97787194368986
19.9;9.11376843954704
20;8.39351732461614
20.1;7.64888558633893
20.2;7.44487930912342
20.3;5.27177216202128
20.4;5.2717721620211
20.5;7.83473521242388
20.6;8.73370988864801
20.7;9.48359559994138
20.8;11.1853022396126
20.9;11.1853022396122
21;4.19749766732906
