depth_m;density_kggm3
0.1;292.535206299363
0.2;278.00186179579
0.3;301.480568666176
0.4;348.437982406948
0.5;338.467555854293
0.6;371.97558650197
0.7;467.977285930878
0.8;468.785691991027
0.9;490.275819756663
1;406.513162670151
1.1;422.768429894315
1.2;632.160553328554
1.3;713.141560409071
1.4;707.390067251255
1.5;388.102276043348
1.6;362.954297624613
1.7;348.541549479626
1.8;394.044060585445
1.9;494.513016716539
2;462.217392752314
2.1;459.309376508166
2.2;496.306202336666
2.3;452.94317878449
2.4;392.132057767425
2.5;349.430343942625
2.6;363.816410653029
2.7;399.548570940462
2.8;578.878620997287
2.9;865.665349111066
3;760.581605958223
3.1;502.065074800507
3.2;704.225791291734
3.3;608.873601307637
3.4;491.082728768553
3.5;886.551979297076
3.6;598.108205891024
3.7;548.421854633514
3.8;616.951365202768
3.9;742.421786799947
4;405.078803306483
4.1;682.291346407433
4.2;867.099708474733
4.3;682.990842206702
4.4;533.2633733982
4.5;481.976184205797
4.6;462.138797718689
4.7;450.035162540342
4.8;440.132188303513
4.9;440.132188303513
5;505.641148830473
5.1;524.03238669887
5.2;591.427628032846
5.3;865.437984906649
5.4;640.695486254168
5.5;670.918645041805
5.6;662.968757390573
5.7;558.751742802991
5.8;753.793178248348
5.9;572.360472875269
6;605.181758917331
6.1;523.639411530742
6.2;860.085101723646
6.3;893.625532323383
6.4;824.461902732831
6.5;547.807384370622
6.6;706.647947328015
6.7;545.196906468057
6.8;776.339286430054
6.9;806.994156509535
7;902.467473606266
7.1;844.896611475494
7.2;894.686565277329
7.3;836.054670192611
7.4;517.906373051834
7.5;580.591065454165
7.6;587.473175055282
7.7;578.270819403916
7.8;539.617781866832
7.9;664.323254058782
8;570.346623032492
8.1;511.850156486898
8.2;809.116222417427
8.3;783.675010032811
8.4;627.502748467008
8.5;578.83670364602
8.6;562.282917329705
8.7;700.817848394402
8.8;719.139934437218
8.9;579.685530009177
9;602.835999452196
9.1;694.65615892829
9.2;702.993278264424
9.3;670.337041792975
9.4;647.230101907041
9.5;650.892630473996
9.6;679.06109052542
9.7;865.243992403017
9.8;630.662268818759
9.9;563.117696920895
10;670.116975698824
10.1;625.71800191396
10.2;684.52482422264
10.3;586.53508718965
10.4;639.298938366761
10.5;812.16177997042
10.6;889.820818195597
10.7;819.689437635452
10.8;551.20268982325
10.9;554.818061370029
11;539.759252927358
11.1;619.710546423562
11.2;679.584118407493
11.3;587.377363966672
11.4;604.238618513823
11.5;606.565031509141
11.6;594.621444399269
11.7;572.39889711393
11.8;566.041432171768
11.9;622.62985638222
12;651.276623352566
12.1;670.101256692099
12.2;701.387977537939
12.3;723.616387389889
12.4;646.386112161338
12.5;603.594373850133
12.6;716.661935716818
12.7;869.523055344857
12.8;901.677745856506
12.9;619.387055762462
13;586.31895084718
13.1;620.1148153062
13.2;629.074649139521
13.3;620.020501265849
13.4;621.057955709707
13.5;618.197096485734
13.6;600.237416801973
13.7;622.308926661582
13.8;599.788174734772
13.9;616.456929213868
14;674.514963247099
14.1;671.17300715063
14.2;812.087720592193
14.3;659.175791535436
14.4;664.010141586112
14.5;710.990322935831
14.6;775.018481579254
14.7;648.653545293816
14.8;674.715499666229
14.9;904.557387000402
15;787.270732821184
15.1;673.487988141057
15.2;668.214975885084
15.3;688.44533754032
15.4;690.693155502013
15.5;743.516877601797
15.6;657.197381171382
15.7;660.163351329214
15.8;706.317848186788
15.9;776.204552086696
16;692.107866107274
16.1;627.65993853426
16.2;624.708258382542
16.3;631.046669983219
16.4;634.419111426064
16.5;903.821054740929
16.6;905.218299783162
16.7;905.218299783163
16.8;762.84815970571
16.9;811.519920529144
17;664.348432908094
17.1;885.81706469694
17.2;656.111340706737
17.3;657.845520513991
17.4;662.47
17.5;662.47
17.6;662.47
17.7;662.47
17.8;662.47
17.9;662.47
18;670.496666666667
18.1;672.79
18.2;672.79
18.3;672.79
18.4;672.79
18.5;672.79
18.6;672.79
18.7;672.79
18.8;672.79
18.9;672.79
19;667.963333333333
19.1;661.93
19.2;661.93
19.3;661.93
19.4;661.93
19.5;661.93
19.6;661.93
19.7;661.93
19.8;661.93
19.9;661.93
20;651.56
20.1;651.56
20.2;651.56
20.3;651.56
20.4;651.56
20.5;651.56
20.6;651.56
20.7;668.115
20.8;675.21
20.9;675.21
21;675.21
21.1;675.21
21.2;675.21
21.3;675.21
21.4;675.21
21.5;675.21
21.6;675.21
21.7;672.636
21.8;662.34
21.9;662.34
22;662.34
22.1;662.34
22.2;662.34
22.3;662.34
22.4;662.34
22.5;662.34
22.6;662.34
22.7;662.34
22.8;672.62
22.9;675.19
23;675.19
23.1;675.19
23.2;675.19
23.3;675.19
23.4;675.19
23.5;675.19
23.6;675.19
23.7;675.19
23.8;677.147
23.9;694.76
24;694.76
24.1;694.76
24.2;694.76
24.3;694.76
24.4;694.76
24.5;694.76
24.6;694.76
24.7;694.76
24.8;704.704
24.9;744.48
25;744.48
25.1;744.48
25.2;744.48
25.3;744.48
25.4;744.48
25.5;744.48
25.6;744.48
25.7;744.48
25.8;744.48
25.9;706.948
26;650.65
26.1;650.65
26.2;650.65
26.3;650.65
26.4;650.65
26.5;650.65
26.6;650.65
26.7;650.65
26.8;650.65
26.9;662.074
27;679.21
27.1;679.21
27.2;679.21
27.3;679.21
27.4;679.21
27.5;679.21
27.6;679.21
27.7;679.21
27.8;679.21
27.9;693.55
28;750.91
28.1;750.91
28.2;750.91
28.3;750.91
28.4;750.91
28.5;750.91
28.6;750.91
28.7;750.91
28.8;744.964
28.9;721.18
29;721.18
29.1;721.18
29.2;721.18
29.3;721.18
29.4;721.18
29.5;721.18
29.6;721.18
29.7;721.18
29.8;721.18
29.9;721.18
30;727.713333333334
30.1;732.94
30.2;732.94
30.3;732.94
30.4;732.94
30.5;732.94
30.6;732.94
30.7;732.94
30.8;732.94
30.9;732.94
31;706.498
31.1;688.87
31.2;688.87
31.3;688.87
31.4;688.87
31.5;688.87
31.6;688.87
31.7;688.87
31.8;688.87
31.9;688.87
32;688.993
32.1;690.1
32.2;690.1
32.3;690.1
32.4;690.1
32.5;690.1
32.6;690.1
32.7;690.1
32.8;690.1
32.9;690.1
33;690.1
33.1;706.444
33.2;708.26
33.3;708.26
33.4;708.26
33.5;708.26
33.6;708.26
33.7;708.26
