depth_m;density_kggm3
0.1;313
0.2;313.636363636364
0.3;318.888888888889
0.4;311
0.5;320
0.6;343.636363636364
0.7;293.333333333333
0.8;251
0.9;280
1;323
1.1;305
1.2;285
1.3;290
1.4;270
1.5;398.888888888889
1.6;310
1.7;340
1.8;380
1.9;308.888888888889
2;299.444444444444
2.1;306
2.2;326.818181818182
2.3;325.555555555556
2.4;398
2.5;403.75
2.6;508
2.7;348.181818181818
2.8;385
2.9;415
3;376.666666666667
3.1;320
3.2;305.454545454545
3.3;430
3.4;355
3.5;405.555555555556
3.6;376
3.7;421.818181818182
3.8;315
3.9;275.555555555556
4;346
4.1;313.888888888889
4.2;371
4.3;446.111111111111
4.4;396
4.5;388
4.6;564.999999999999
4.7;360
4.8;400.555555555556
4.9;400
5;392
5.1;389.444444444445
5.2;423
5.3;437
5.4;435
5.5;429
5.6;487
5.7;457
5.8;495
5.9;495
6;472.6
6.1;444
6.2;444
6.3;444
6.4;444
6.5;454.32
6.6;461.2
6.7;461.2
6.8;461.2
6.9;461.2
7;461.2
7.1;461.2
7.2;461.2
7.3;461.2
7.4;461.2
7.5;461.2
7.6;461.2
7.7;464.55
7.8;477.95
7.9;477.95
8;477.95
8.1;477.95
8.2;477.95
8.3;477.95
8.4;477.95
8.5;477.95
8.6;477.95
8.7;477.95
8.8;477.95
8.9;477.95
9;493.56491
9.1;495.2999
9.2;495.2999
9.3;495.2999
9.4;495.2999
9.5;495.2999
9.6;495.2999
9.7;495.2999
9.8;495.2999
9.9;495.2999
10;495.2999
10.1;496.245363636364
10.2;505.7
10.3;505.7
10.4;505.7
10.5;505.7
10.6;505.7
10.7;505.7
10.8;505.7
10.9;505.7
11;505.7
11.1;505.7
11.2;509.077777777778
11.3;520.9
11.4;520.9
11.5;520.9
11.6;520.9
11.7;520.9
11.8;520.9
11.9;520.9
12;520.9
12.1;520.9
12.2;520.9
12.3;520.9
12.4;520.9
12.5;523.32
12.6;533
12.7;533
12.8;533
12.9;533
13;533
13.1;533
13.2;533
13.3;533
13.4;533
13.5;533
13.6;533
13.7;533.7611
13.8;539.8499
13.9;539.8499
14;539.8499
14.1;539.8499
14.2;539.8499
14.3;539.8499
14.4;539.8499
14.5;539.8499
14.6;539.8499
14.7;539.8499
14.8;539.8499
14.9;548.18996
15;553.75
15.1;553.75
15.2;553.75
15.3;553.75
15.4;553.75
15.5;553.75
15.6;553.75
15.7;553.75
15.8;553.75
15.9;553.75
16;553.75
16.1;557.377272727273
16.2;560.4
16.3;560.4
16.4;560.4
16.5;560.4
16.6;560.4
16.7;560.4
16.8;560.4
16.9;560.4
17;560.4
17.1;560.4
17.2;560.4
17.3;562.027254545455
17.4;569.3499
17.5;569.3499
17.6;569.3499
17.7;569.3499
17.8;569.3499
17.9;569.3499
18;569.3499
18.1;569.3499
18.2;569.3499
18.3;569.3499
18.4;569.3499
18.5;569.3499
18.6;571.131736363636
18.7;579.15
18.8;579.15
18.9;579.15
19;579.15
19.1;579.15
19.2;579.15
19.3;579.15
19.4;579.15
19.5;579.15
19.6;579.15
19.7;579.15
19.8;579.15
19.9;584.415
20;585
20.1;585
20.2;585
20.3;585
20.4;585
20.5;585
20.6;585
20.7;585
20.8;585
20.9;585
21;586.733333333333
21.1;588.9
21.2;588.9
21.3;588.9
21.4;588.9
21.5;588.9
21.6;588.9
21.7;588.9
21.8;588.9
21.9;588.9
22;588.9
22.1;588.9
22.2;588.9
22.3;596.72991
22.4;597.5999
22.5;597.5999
22.6;597.5999
22.7;597.5999
22.8;597.5999
22.9;597.5999
23;597.5999
23.1;597.5999
23.2;597.5999
23.3;597.5999
23.4;601.6999
23.5;607.8499
23.6;607.8499
23.7;607.8499
23.8;607.8499
23.9;607.8499
24;607.8499
24.1;607.8499
24.2;607.8499
24.3;607.8499
24.4;607.8499
24.5;607.8499
24.6;610.622718181818
24.7;610.9
24.8;610.9
24.9;610.9
25;610.9
25.1;610.9
25.2;610.9
25.3;610.9
25.4;610.9
25.5;610.9
25.6;610.9
25.7;610.9
25.8;615.78
25.9;617
26;617
26.1;617
26.2;617
26.3;617
26.4;617
26.5;617
26.6;617
26.7;617
26.8;617
26.9;621.8
27;625
27.1;625
27.2;625
27.3;625
27.4;625
27.5;625
27.6;625
27.7;625
27.8;625
27.9;625
28;625
28.1;626.281818181818
28.2;629.7
28.3;629.7
28.4;629.7
28.5;629.7
28.6;629.7
28.7;629.7
28.8;629.7
28.9;629.7
29;629.7
29.1;629.7
29.2;630.28999
29.3;635.5999
29.4;635.5999
29.5;635.5999
29.6;635.5999
29.7;635.5999
29.8;635.5999
29.9;635.5999
30;635.5999
30.1;635.5999
30.2;635.5999
30.3;635.5999
30.4;639.93994
30.5;646.45
30.6;646.45
30.7;646.45
30.8;646.45
30.9;646.45
31;646.45
31.1;646.45
31.2;646.45
31.3;646.45
31.4;646.45
31.5;647.25
31.6;647.45
31.7;647.45
31.8;647.45
31.9;647.45
32;647.45
32.1;647.45
32.2;647.45
32.3;647.45
32.4;647.61
32.5;648.25
32.6;648.25
32.7;648.25
32.8;648.25
32.9;648.25
33;648.25
33.1;648.25
33.2;648.25
33.3;651.43
33.4;656.2
33.5;656.2
33.6;656.2
33.7;656.2
33.8;656.2
33.9;656.2
34;656.2
34.1;656.2
34.2;656.2
34.3;656.92
34.4;663.4
34.5;663.4
34.6;663.4
34.7;663.4
34.8;663.4
34.9;663.4
35;663.4
35.1;663.4
35.2;663.4
35.3;663.4
35.4;669.87991
35.5;670.5999
35.6;670.5999
35.7;670.5999
35.8;670.5999
35.9;670.5999
36;670.5999
36.1;670.5999
36.2;670.5999
36.3;670.5999
36.4;670.5999
36.5;672.02992
36.6;677.75
36.7;677.75
36.8;677.75
36.9;677.75
37;677.75
37.1;677.75
37.2;677.75
37.3;677.75
37.4;677.75
37.5;677.75
37.6;681.625
37.7;685.5
37.8;685.5
37.9;685.5
38;685.5
38.1;685.5
38.2;685.5
38.3;685.5
38.4;685.5
38.5;685.5
38.6;685.5
38.7;687.37992
38.8;687.8499
38.9;687.8499
39;687.8499
39.1;687.8499
39.2;687.8499
39.3;687.8499
39.4;687.8499
39.5;687.8499
39.6;687.8499
39.7;689.52997
39.8;690.25
39.9;690.25
40;690.25
40.1;690.25
40.2;690.25
40.3;690.25
40.4;690.25
40.5;690.25
40.6;690.25
40.7;693.88992
40.8;694.7999
40.9;694.7999
41;694.7999
41.1;694.7999
41.2;694.7999
41.3;694.7999
41.4;694.7999
41.5;694.7999
41.6;694.7999
41.7;694.7999
41.8;697.56497
41.9;698.75
42;698.75
42.1;698.75
42.2;698.75
42.3;698.75
42.4;698.75
42.5;698.75
42.6;698.75
42.7;698.75
42.8;699.875
42.9;701
43;701
43.1;701
43.2;701
43.3;701
43.4;701
43.5;701
43.6;701
43.7;701
43.8;702.59
43.9;708.95
44;708.95
44.1;708.95
44.2;708.95
44.3;708.95
44.4;708.95
44.5;708.95
44.6;708.95
44.7;708.95
44.8;714.8
44.9;720.65
45;720.65
45.1;720.65
45.2;720.65
45.3;720.65
45.4;720.65
45.5;720.65
45.6;720.65
45.7;720.65
45.8;720.65
45.9;718.76
46;718.55
46.1;718.55
46.2;718.55
46.3;718.55
46.4;718.55
46.5;718.55
46.6;718.55
46.7;718.55
46.8;720.775
46.9;723
47;723
47.1;723
47.2;723
47.3;723
47.4;723
47.5;723
47.6;723
47.7;723
47.8;723
47.9;730.4499
48;730.4499
48.1;730.4499
48.2;730.4499
48.3;730.4499
48.4;730.4499
48.5;730.4499
48.6;730.4499
48.7;730.4499
48.8;730.1699
48.9;730.0499
49;730.0499
49.1;730.0499
49.2;730.0499
49.3;730.0499
49.4;730.0499
49.5;730.0499
49.6;730.0499
