depth_m;density_kgm3
0.01;362.7602
0.02;362.7602
0.03;362.7602
0.04;362.7602
0.05;362.7602
0.06;362.7602
0.07;362.7602
0.08;362.7602
0.09;362.7602
0.1;362.7602
0.11;362.7602
0.12;362.7602
0.13;362.7602
0.14;362.7602
0.15;362.7602
0.16;362.7602
0.17;362.7602
0.18;362.7602
0.19;362.7602
0.2;362.7602
0.21;362.7602
0.22;362.7602
0.23;362.7602
0.24;362.7602
0.25;362.7602
0.26;362.7602
0.27;362.7602
0.28;362.7602
0.29;362.7602
0.3;362.7602
0.31;362.7602
0.32;362.7602
0.33;362.7602
0.34;362.7602
0.35;362.7602
0.36;362.7602
0.37;362.7602
0.38;362.7602
0.39;362.7602
0.4;362.7602
0.41;362.7602
0.42;362.7602
0.43;362.7602
0.44;362.7602
0.45;362.7602
0.46;362.7602
0.47;362.7602
0.48;362.7602
0.49;362.7602
0.5;362.7602
0.51;362.7602
0.52;362.7602
0.53;362.7602
0.54;362.7602
0.55;362.7602
0.56;362.7602
0.57;362.7602
0.58;362.7602
0.59;362.7602
0.6;362.7602
0.61;362.7602
0.62;362.7602
0.63;362.7602
0.64;362.7602
0.65;362.7602
0.66;362.7602
0.67;362.7602
0.68;362.7602
0.69;362.7602
0.7;362.7602
0.71;362.7602
0.72;362.7602
0.73;362.7602
0.74;362.7602
0.75;362.7602
0.76;362.7602
0.77;362.7602
0.78;362.7602
0.79;362.7602
0.8;362.7602
0.81;362.7602
0.82;362.7602
0.83;362.7602
0.84;362.7602
0.85;362.7602
0.86;362.7602
0.87;362.7602
0.88;362.7602
0.89;362.7602
0.9;362.7602
0.91;362.7602
0.92;362.7602
0.93;362.7602
0.94;362.7602
0.95;362.7602
0.96;362.7602
0.97;362.7602
0.98;362.7602
0.99;362.7602
1;362.7602
1.01;362.7602
1.02;362.7602
1.03;336.9737
1.04;336.9737
1.05;336.9737
1.06;336.9737
1.07;336.9737
1.08;336.9737
1.09;336.9737
1.1;336.9737
1.11;336.9737
1.12;336.9737
1.13;336.9737
1.14;336.9737
1.15;336.9737
1.16;336.9737
1.17;336.9737
1.18;336.9737
1.19;336.9737
1.2;336.9737
1.21;336.9737
1.22;336.9737
1.23;336.9737
1.24;336.9737
1.25;336.9737
1.26;336.9737
1.27;336.9737
1.28;336.9737
1.29;336.9737
1.3;336.9737
1.31;336.9737
1.32;336.9737
1.33;336.9737
1.34;336.9737
1.35;336.9737
1.36;336.9737
1.37;336.9737
1.38;336.9737
1.39;336.9737
1.4;336.9737
1.41;336.9737
1.42;336.9737
1.43;336.9737
1.44;336.9737
1.45;336.9737
1.46;336.9737
1.47;336.9737
1.48;336.9737
1.49;336.9737
1.5;336.9737
1.51;336.9737
1.52;336.9737
1.53;336.9737
1.54;336.9737
1.55;336.9737
1.56;336.9737
1.57;336.9737
1.58;336.9737
1.59;336.9737
1.6;336.9737
1.61;336.9737
1.62;336.9737
1.63;336.9737
1.64;336.9737
1.65;336.9737
1.66;336.9737
1.67;336.9737
1.68;336.9737
1.69;336.9737
1.7;336.9737
1.71;336.9737
1.72;336.9737
1.73;336.9737
1.74;336.9737
1.75;336.9737
1.76;336.9737
1.77;336.9737
1.78;336.9737
1.79;336.9737
1.8;336.9737
1.81;336.9737
1.82;336.9737
1.83;336.9737
1.84;336.9737
1.85;336.9737
1.86;336.9737
1.87;336.9737
1.88;336.9737
1.89;336.9737
1.9;336.9737
1.91;336.9737
1.92;336.9737
1.93;336.9737
1.94;336.9737
1.95;336.9737
1.96;336.9737
1.97;336.9737
1.98;336.9737
1.99;336.9737
2;336.9737
2.01;336.9737
2.02;336.9737
