depth_cm;density_kgm-1
17.67;590.18
17.68;590.18
17.69;590.18
17.7;590.18
17.71;590.18
17.72;590.18
17.73;590.18
17.74;590.18
17.75;590.18
17.76;590.18
17.77;590.18
17.78;590.18
17.79;590.18
17.8;590.18
17.81;590.18
17.82;590.18
17.83;590.18
17.84;590.18
17.85;590.18
17.86;590.18
17.87;590.18
17.88;599.09
17.89;599.09
17.9;599.09
17.91;599.09
17.92;599.09
17.93;599.09
17.94;599.09
17.95;599.09
17.96;599.09
17.97;599.09
17.98;599.09
17.99;599.09
18;599.09
18.01;599.09
18.02;599.09
18.03;599.09
18.04;599.09
18.05;599.09
18.06;599.09
18.07;599.09
18.08;599.09
18.09;599.09
18.1;599.09
18.11;599.09
18.12;599.09
18.13;599.09
18.14;599.09
18.15;599.09
18.16;599.09
18.17;599.09
18.18;599.09
18.19;599.09
18.2;599.09
18.21;599.09
18.22;599.09
18.23;599.09
18.24;599.09
18.25;599.09
18.26;599.09
18.27;599.09
18.28;599.09
18.29;599.09
18.3;599.09
18.31;599.09
18.32;599.09
18.33;599.09
18.34;599.09
18.35;599.09
18.36;599.09
18.37;599.09
18.38;599.09
18.39;599.09
18.4;599.09
18.41;599.09
18.42;599.09
18.43;599.09
18.44;599.09
18.45;599.09
18.46;599.09
18.47;599.09
18.48;599.09
18.49;599.09
18.5;599.09
18.51;599.09
18.52;599.09
18.53;599.09
18.54;599.09
18.55;599.09
18.56;599.09
18.57;599.09
18.58;599.09
18.59;599.09
18.6;599.09
18.61;599.09
18.62;599.09
18.63;599.09
18.64;850
18.65;599.09
18.66;599.09
18.67;599.09
18.68;599.09
18.69;599.09
18.7;599.09
18.71;599.09
18.72;599.09
18.73;599.09
18.74;599.09
18.75;599.09
18.76;850
18.77;599.09
18.78;599.09
18.79;599.09
18.8;599.09
18.81;599.09
18.82;593.63
18.83;593.63
18.84;593.63
18.85;593.63
18.86;593.63
18.87;593.63
18.88;593.63
18.89;593.63
18.9;593.63
18.91;593.63
18.92;593.63
18.93;593.63
18.94;593.63
18.95;593.63
18.96;593.63
18.97;593.63
18.98;593.63
18.99;593.63
19;593.63
19.01;593.63
19.02;593.63
19.03;593.63
19.04;593.63
19.05;593.63
19.06;593.63
19.07;593.63
19.08;593.63
19.09;593.63
19.1;593.63
19.11;593.63
19.12;593.63
19.13;593.63
19.14;593.63
19.15;593.63
19.16;593.63
19.17;593.63
19.18;593.63
19.19;593.63
19.2;593.63
19.21;593.63
19.22;593.63
19.23;593.63
19.24;593.63
19.25;593.63
19.26;593.63
19.27;593.63
19.28;593.63
19.29;593.63
19.3;593.63
19.31;593.63
19.32;593.63
19.33;593.63
19.34;593.63
19.35;593.63
19.36;593.63
19.37;593.63
19.38;593.63
19.39;593.63
19.4;593.63
19.41;593.63
19.42;593.63
19.43;593.63
19.44;593.63
19.45;593.63
19.46;593.63
19.47;593.63
19.48;593.63
19.49;593.63
19.5;593.63
19.51;593.63
19.52;593.63
19.53;593.63
19.54;593.63
19.55;850
19.56;593.63
19.57;593.63
19.58;593.63
19.59;593.63
19.6;593.63
19.61;593.63
19.62;593.63
19.63;593.63
19.64;593.63
19.65;593.63
19.66;593.63
19.67;593.63
19.68;593.63
19.69;593.63
19.7;593.63
19.71;593.63
19.72;575.02
19.73;575.02
19.74;575.02
19.75;575.02
19.76;575.02
19.77;575.02
19.78;575.02
19.79;575.02
19.8;575.02
19.81;575.02
19.82;575.02
19.83;575.02
19.84;575.02
19.85;575.02
19.86;575.02
19.87;575.02
19.88;575.02
19.89;575.02
19.9;575.02
19.91;575.02
19.92;575.02
19.93;575.02
19.94;575.02
19.95;575.02
19.96;575.02
19.97;575.02
19.98;575.02
19.99;575.02
20;575.02
20.01;575.02
20.02;575.02
20.03;575.02
20.04;575.02
20.05;575.02
20.06;575.02
20.07;575.02
20.08;575.02
20.09;575.02
20.1;575.02
20.11;575.02
20.12;575.02
20.13;575.02
20.14;575.02
20.15;575.02
20.16;575.02
20.17;575.02
20.18;575.02
20.19;575.02
20.2;575.02
20.21;575.02
20.22;575.02
20.23;575.02
20.24;575.02
20.25;575.02
20.26;575.02
20.27;575.02
20.28;575.02
20.29;575.02
20.3;575.02
20.31;575.02
20.32;575.02
20.33;575.02
20.34;575.02
20.35;575.02
20.36;575.02
20.37;575.02
20.38;575.02
20.39;575.02
20.4;575.02
20.41;575.02
20.42;575.02
20.43;850
20.44;850
20.45;850
20.46;850
20.47;850
20.48;850
20.49;850
20.5;850
20.51;850
20.52;850
20.53;575.02
