depth_m;density_kggm3
20.2;651.56
20.3;651.56
20.4;651.56
20.5;651.56
20.6;651.56
20.7;668.115
20.8;675.21
20.9;675.21
21;675.21
21.1;675.21
21.2;675.21
21.3;675.21
21.4;675.21
21.5;675.21
21.6;675.21
21.7;672.636
21.8;662.34
21.9;662.34
22;662.34
22.1;662.34
22.2;662.34
22.3;662.34
22.4;662.34
22.5;662.34
22.6;662.34
22.7;662.34
22.8;672.62
22.9;675.19
23;675.19
23.1;675.19
23.2;675.19
23.3;675.19
23.4;675.19
23.5;675.19
23.6;675.19
23.7;675.19
23.8;677.147
23.9;694.76
24;694.76
24.1;694.76
24.2;694.76
24.3;694.76
24.4;694.76
24.5;694.76
24.6;694.76
24.7;694.76
24.8;704.704
24.9;744.48
25;744.48
25.1;744.48
25.2;744.48
25.3;744.48
25.4;744.48
25.5;744.48
25.6;744.48
25.7;744.48
25.8;744.48
25.9;706.948
26;650.65
26.1;650.65
26.2;650.65
26.3;650.65
26.4;650.65
26.5;650.65
26.6;650.65
26.7;650.65
26.8;650.65
26.9;662.074
27;679.21
27.1;679.21
27.2;679.21
27.3;679.21
27.4;679.21
27.5;679.21
27.6;679.21
27.7;679.21
27.8;679.21
27.9;693.55
28;750.91
28.1;750.91
28.2;750.91
28.3;750.91
28.4;750.91
28.5;750.91
28.6;750.91
28.7;750.91
28.8;744.964
28.9;721.18
29;721.18
29.1;721.18
29.2;721.18
29.3;721.18
29.4;721.18
29.5;721.18
29.6;721.18
29.7;721.18
29.8;721.18
29.9;721.18
30;727.713333333334
30.1;732.94
30.2;732.94
30.3;732.94
30.4;732.94
30.5;732.94
30.6;732.94
30.7;732.94
30.8;732.94
30.9;732.94
31;706.498
31.1;688.87
31.2;688.87
31.3;688.87
31.4;688.87
31.5;688.87
31.6;688.87
31.7;688.87
31.8;688.87
31.9;688.87
32;688.993
32.1;690.1
32.2;690.1
32.3;690.1
32.4;690.1
32.5;690.1
32.6;690.1
32.7;690.1
32.8;690.1
32.9;690.1
33;690.1
33.1;706.444
33.2;708.26
33.3;708.26
33.4;708.26
33.5;708.26
33.6;708.26
33.7;708.26
33.8;708.26
33.9;708.26
34;708.26
34.1;720.56
34.2;739.01
34.3;739.01
34.4;739.01
34.5;739.01
34.6;739.01
34.7;739.01
34.8;739.01
34.9;739.01
35;739.01
35.1;739.01
35.2;746.282
35.3;747.09
35.4;747.09
35.5;747.09
35.6;747.09
35.7;747.09
35.8;747.09
35.9;747.09
36;747.09
36.1;747.09
36.2;728.25
36.3;723.54
36.4;723.54
36.5;723.54
36.6;723.54
36.7;723.54
36.8;723.54
36.9;723.54
37;723.54
37.1;723.54
37.2;740.354
37.3;747.56
37.4;747.56
37.5;747.56
37.6;747.56
37.7;747.56
37.8;747.56
37.9;747.56
38;747.56
38.1;747.56
38.2;750.436
38.3;754.75
38.4;754.75
38.5;754.75
38.6;754.75
38.7;754.75
38.8;754.75
38.9;754.75
39;754.75
39.1;754.75
39.2;754.138
39.3;753.22
39.4;753.22
39.5;753.22
39.6;753.22
39.7;753.22
39.8;753.22
39.9;753.22
40;753.22
40.1;753.22
40.2;751.333
40.3;734.35
40.4;734.35
40.5;734.35
40.6;734.35
40.7;734.35
40.8;734.35
40.9;734.35
41;734.35
41.1;734.35
41.2;739.61
41.3;744.87
41.4;744.87
41.5;744.87
41.6;744.87
41.7;744.87
41.8;744.87
41.9;744.87
42;744.87
42.1;744.87
42.2;744.87
42.3;763.758
42.4;768.48
42.5;768.48
42.6;768.48
42.7;768.48
42.8;768.48
42.9;768.48
43;768.48
43.1;768.48
43.2;765.537
43.3;758.67
43.4;758.67
43.5;758.67
43.6;758.67
43.7;758.67
43.8;758.67
43.9;758.67
44;758.67
44.1;764.27
44.2;786.67
44.3;786.67
44.4;786.67
44.5;786.67
44.6;786.67
44.7;786.67
44.8;786.67
44.9;786.67
45;786.67
45.1;773.205
45.2;759.74
45.3;759.74
45.4;759.74
45.5;759.74
45.6;759.74
45.7;759.74
45.8;759.74
45.9;759.74
46;759.74
46.1;759.74
46.2;764.244
46.3;765.37
46.4;765.37
46.5;765.37
46.6;765.37
46.7;765.37
46.8;765.37
46.9;765.37
47;765.37
47.1;765.37
47.2;765.61
47.3;766.57
47.4;766.57
47.5;766.57
47.6;766.57
47.7;766.57
47.8;766.57
47.9;766.57
48;766.57
48.1;766.57
48.2;766.57
48.3;766.57
48.4;766.57
48.5;766.57
48.6;766.57
48.7;766.57
48.8;766.57
48.9;766.57
49;766.57
49.1;766.57
49.2;766.57
49.3;766.57
49.4;766.57
49.5;766.57
49.6;766.57
49.7;766.57
49.8;766.57
49.9;766.57
50;766.57
50.1;766.57
50.2;766.57
50.3;766.57
50.4;760.73
50.5;760.73
50.6;760.73
50.7;760.73
50.8;760.73
50.9;760.73
51;760.73
51.1;760.73
51.2;765.758
51.3;773.3
51.4;773.3
51.5;773.3
51.6;773.3
51.7;773.3
51.8;773.3
51.9;773.3
52;773.3
52.1;773.3
52.2;773.3
52.3;773.3
52.4;786.684
52.5;806.76
52.6;806.76
52.7;806.76
52.8;806.76
52.9;806.76
53;806.76
53.1;806.76
53.2;806.76
53.3;816.511
53.4;820.69
53.5;820.69
53.6;820.69
53.7;820.69
53.8;820.69
53.9;820.69
54;820.69
54.1;820.69
54.2;820.69
54.3;820.69
54.4;820.69
54.5;825.85
54.6;829.29
54.7;829.29
54.8;829.29
54.9;829.29
55;829.29
55.1;829.29
55.2;832.618
55.3;837.61
55.4;837.61
55.5;837.61
55.6;837.61
55.7;837.61
55.8;837.61
55.9;837.61
56;837.61
56.1;837.61
56.2;837.61
56.3;837.61
56.4;840.172
56.5;846.15
56.6;846.15
56.7;846.15
56.8;846.15
56.9;846.15
57;846.15
57.1;846.15
57.2;846.15
57.3;846.15
57.4;846.15
57.5;846.15
57.6;846.15
57.7;846.15
57.8;846.15
57.9;846.15
58;846.15
58.1;846.15
58.2;846.15
58.3;846.15
58.4;846.15
58.5;846.15
58.6;846.15
58.7;846.15
58.8;846.15
58.9;846.15
59;846.15
59.1;846.15
59.2;846.15
59.3;846.15
59.4;838.923
59.5;822.06
59.6;822.06
59.7;822.06
59.8;822.06
59.9;822.06
60;NaN
